Date,China,India,Norway,US,Japan,Thailand,Chile,vietnam,Indonesia
15/11/2017,0.145404854,0.02414713,-0.015817875,-0.294003635,0.045618823,0.124199573,-0.143323563,0.125163143,-0.004750603
15/12/2017,0.052438028,-0.155014967,-0.101097352,-0.1535213,0.275659496,-0.113426577,0.579019472,-0.11686434,0.004750603
15/01/2018,0.009529966,-0.347154691,-0.061708483,-0.500859359,-0.404658558,0.025342727,0.211044259,0.048396541,0.009434032
15/02/2018,-0.498849119,-0.023428162,-0.048507854,0.631094,-0.030333087,-0.143717764,-0.142951155,-0.143706721,0.004683849
15/03/2018,-0.084496674,0.23766871,0.221726218,0.181650713,0.413111232,0.535976517,-0.086072588,0.530628251,0.004662013
15/04/2018,0.298098855,-0.108846694,-0.133787391,-0.10391628,0.134597573,-0.464536899,-0.17664467,-0.460423992,0.00464038
15/05/2018,0.079256201,0.140901488,0.063555831,-0.400296049,-0.190514559,0.210687079,0.316171499,0.206049118,0.004618946
15/06/2018,-0.072237127,0.010894646,-0.058604479,-0.003679535,-0.042936621,-0.06896265,-0.0786035,-0.064078857,0
15/07/2018,0.074653346,0.044483187,-0.12000574,0.670845428,-0.098658424,-0.024550964,-0.002714594,-0.029852963,0.004597709
15/08/2018,-0.086442639,-0.035772258,0.11384653,0.247856695,-0.220632339,0.031552686,0.187613157,0.037179003,0
15/09/2018,0.037603153,0.283672584,-0.02724977,-0.089287433,-0.085283491,-0.083273971,-0.201530133,-0.083699019,0.009132484
15/10/2018,0.112169367,-0.030357338,0.262356511,-0.460630276,0.124412216,0.02416744,-0.376341857,0.023530497,0.013544225
15/11/2018,0.048362552,-0.107416987,-0.013455117,-0.118936857,0.101211152,-0.104883075,0.485730342,-0.106222213,0.00447428
15/12/2018,0.005118519,-0.055043701,-0.174413928,-0.357095267,0.057926021,-0.063778623,-0.167277331,-0.062242309,0
15/01/2019,0.046639906,-0.330602855,0.036201041,-0.269936952,-0.441950493,0.08529047,0.156280999,0.19145404,0
15/02/2019,-0.922809523,-0.007871662,-0.088381893,0.513254146,0.339622908,-0.167738555,-0.210103993,-0.164303051,0
15/03/2019,0.65970658,0.168520534,0.155617093,0.44897916,0.180966346,0.270734482,0.392601248,0.271933715,0.00445435
15/04/2019,0.012032436,-0.103711645,-0.037651961,-0.358453663,0.077277753,-0.148391909,-0.020797415,-0.15415068,-0.01342302
15/05/2019,0.058023307,0.121350387,-0.033453566,-0.300015264,-0.239802443,0.040191704,-0.141398394,0.046520016,0
15/06/2019,-0.074929754,0.013124843,-0.069808058,-0.041305291,0.202588393,-0.074730293,-0.680696228,-0.078780878,0.01342302
15/07/2019,-0.047249363,0.09876512,-0.016747794,0.595059483,-0.130791182,0.068711696,0.65934629,0.071176278,-0.00445435
15/08/2019,-0.011171172,0.031133354,0.069412776,0.379656739,-0.11190849,0.077738419,0.464589857,0.073562567,0.00445435
15/09/2019,0.048731012,0.082223359,0.024610201,-0.209229986,-0.104084211,-0.092013047,-0.594874389,-0.088947486,0
15/10/2019,0.064291272,0.146841899,0.240575306,-0.073206858,0.138554845,0.275426771,-0.114489814,0.275986033,0.013245227
15/11/2019,0.04402412,-0.060232367,-0.032570657,-0.406533299,0.061973808,-0.089163755,-0.562255537,-0.09237332,-0.013245227
15/12/2019,0.101965499,-0.065298495,-0.104666058,-0.325304639,0.075785773,-0.075962645,0.693046824,-0.073611817,0.004434597
15/01/2020,-0.142597056,-0.448117738,0.019529722,-0.28717721,-0.53488572,-0.108704202,-0.153959457,-0.117783036,0.00881063
15/02/2020,-1.087281729,0.030027004,-0.056208178,0.452339626,0.173431907,-0.040412279,0.13367423,-0.039845909,-0.00881063
15/03/2020,0.840723255,-0.086523564,0.033185405,0.346268772,0.137825921,0.16730954,0.311750523,0.164549387,0.013187004
15/04/2020,0.006111398,-0.328960518,-0.179723868,-0.194365124,-0.06380483,0.088025457,-0.045810848,0.09217046,-0.031044622
15/05/2020,0.013512413,0.429599279,-0.015701026,-0.381134005,0.101044295,-0.111477912,-0.21506703,-0.113077145,-0.018182319
15/06/2020,-0.003634036,0.113483864,0.060850404,-0.068626008,0.152155941,-0.240247283,0.290240066,-0.237328186,0.013667639
